pool_hash;ticker;name;cluster_id;cluster_name
153806dbcd134ddee69a8c5204e38ac80448f62342f8c23cfe4b7edf;OCTAS;OctasPool;;
0f292fcaa02b8b2f9b3c8f9fd8e0bb21abedb692a6d5058df3ef2735;NUTS;StakeNuts;;
c1ede3cc9133209466774d4826044e408db13d6fe6df751a73500f16;ZEN;ZENITH;;
01df29429173d263c7533a22742dae19f16a08798b7a57873c34cf58;000;Investment Stake Pool;;
6b6164af70861c5537cc9c8e50fdae35139ca2c8c6fbb42e8b7e6bfb;SCAN;AdaScan Pool;;
00000036d515e12e18cd3c88c74f09a67984c2c279a5296aa96efe89;ATADA;ATADA Stakepool in Austria;14;stakepool.at
6ec027701fa6c9f4a593f7e7108cb2f5af54361080f7bed1c835349d;BNTY1;Cryptobounty1;;
00beef0a9be2f6d897ed24a613cf547bb20cd282a04edfc53d477114;BCSH;Blue Cheese Stakehouse;22;bluecheesestakehouse.com
d2f12c2f3094ed0784f048fe93a62d8b061525b356e043be084470d9;TAPSY;TapTap Vienna;89;tap-ada.at
00beef8710427e328a29555283c74b202b40bec9a62630a9f03b1e18;BCSH0;Blue Cheese Stakehouse;22;bluecheesestakehouse.com
0960deeaabd7ca77a970e2932d06ec594c902301973041c6d9b1dc2e;K8S;K8S Staking Pool;;
398964318c3664acd3a17d6d0f29a74b6d9a8200cde2f875629906b9;TQWS;TeqWyse Stake Pool;;
0001a003afb844ce6d9409fc49e049db654a78dc77f1151cb6cd548f;AHL;AHLNET 🇸🇪;;
cd29aa2b5003b8833a7bcf36b2fef2a4b96b7d07632249dbd432cac8;CHEAP;CheapStaking #1;;
557fb2fa1a4d61d5ffc613f9f1211a5b22f5c2c3244589adc3168f3d;LIFT;The LIFT Staking Pool;;
618ab17ec8ea7239b4ac0c826b667c599489e25524ce74841a29d510;CRDNS;CARDANIANS.io;10;cardanians.io
88056a745a81bdefd95359c43e71eb52e04c878507a24e88ff3ca3c0;MASP;Moving Average Stake Pool;;
d9e2d181dfe21ab2ca7e95847b9a219e691ee1366d22569712390655;BKIND;BeKind;;
b0c53bbb91bd03c5417c87c7488a83de68f5ea27aefb886c9fc4ff27;LEAF;LEAF pool;;
655c82616621bf8495e05a13f14d944d538deb04788efde2f85e6cb5;CPX;CardanoProxy;;
550f5dc96814537404c7544175d348262699e448d74005dfa26540d3;DOLCA;DOLCA Stake Pool;;
